#------------ EEPROM ---------------
0 (0X00)	64 (0X40)
1 (0X01)	1 (0X01)
2 (0X02)	-
3 (0X03)	1 (0X01)
4 (0X04)	34 (0X22)
5 (0X05)	250 (0XFA)
6 (0X06)	0 (0X00)
7 (0X07)	0 (0X00)
8 (0X08)	255 (0XFF)
9 (0X09)	15 (0X0F)
10 (0X0A)	0(0X00)
11 (0X0B)	80 (0X50)
12 (0X0C)	60 (0X3C)
13 (0X0D)	160 (0XA0)
14 (0X0E)	255 (0XFF)
15 (0X0F)	3 (0X03)
16 (0X10)	2 (0X02)
17 (0X11)	36 (0X24)
18 (0X12)	36 (0X24)
20 (0X14)	0 (0X00)
21 (0X15)	0 (0X00)
22 (0X16)	1 (0X01)
#---------------------------------
#
#------------ RAM ----------------
24 (0X18)	0 (0X00)
25 (0X19)	0 (0X00)
26 (0X1A)	0 (0X00)
27 (0X1B)	0 (0X00)
28 (0X1C)	32 (0X20)
30 (0X1E)	-
31 (0X1F)	-
32 (0X20)	-
33 (0X21)	-
34 (0X22)	255 (0XFF)
35 (0X23)	3 (0X03)
36 (0X24)	-
37 (0X25)	-
38 (0X26)	-
39 (0X27)	-
40 (0X28)	-
41 (0X29)	-
42 (0X2A)	-
43 (0X2B)	-
44 (0X2C)	0 (0X00)
46 (0X2E)	0 (0X00)
47 (0X2F)	0 (0X00)
48 (0X30)	0 (0X00)
49 (0X31)	0 (0X00)
68 (0X44)	0 (0X00)
69 (0X45)	0 (0X00)
70 (0X46)	0 (0X00)
71 (0X47)	0 (0X00)
72 (0X48)	0 (0X00)
73 (0X49)	0 (0X00)
#-----------------------------------
